Gene_Locus,Unambiguous Insertion Location?,GeneID,Tn_insertion_position(bp),Gene_Length(bp),PAO1_ortholog,Gene_Name,Gene_Description
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,Y,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
EMPTY,,,,,,,
PA14_00020,Y,GID1852,55,1104,PA0002,dnaN,DNA polymerase III subunit beta
PA14_00030,Y,GID1741,508,1110,PA0003,recF,recombination protein F
PA14_00070,Y,GID4102,481,537,PA0006,,"D,D-heptose 1,7-bisphosphate phosphatase"
PA14_00080,Y,GID549,140,1707,PA0007,,hypothetical protein
PA14_00120,Y,GID2503,92,888,PA0011,,lipid A biosynthesis lauroyl acyltransferase
PA14_00150,Y,GID5291,47,273,PA0014,,hypothetical protein
PA14_00170,Y,GID1144,13,1374,PA0016,trkA,potassium transporter peripheral membrane protein
PA14_00180,Y,GID1235,642,1305,PA0017,,tRNA and rRNA cytosine-C5-methylases
PA14_00210,Y,GID1995,91,1026,PA0020,,lysin domain-containing protein
PA14_00230,Y,GID1886,721,1089,PA0021,,Rossmann fold nucleotide-binding protein
PA14_00250,Y,GID2171,413,978,PA0023,qor,quinone oxidoreductase
PA14_00250,Y,GID2171,136,978,PA0023,qor,quinone oxidoreductase
PA14_00300,Y,GID1956,9,987,PA0026,plcB,"phospholipase C, PlcB"
PA14_00300,Y,GID1956,163,987,PA0026,plcB,"phospholipase C, PlcB"
PA14_00310,Y,GID1342,1020,1287,PA0027,,peptidyl-prolyl isomerase
PA14_00320,Y,GID3958,395,603,PA0028,,hypothetical protein
PA14_00340,Y,GID769,161,1554,PA0029,,sulfate transporter
PA14_00360,Y,GID2311,271,924,PA0030,,hypothetical protein
PA14_00380,Y,GID681,257,1512,PA0031,betC,choline sulfatase
PA14_00380,Y,GID681,1451,1512,PA0031,betC,choline sulfatase
PA14_00400,Y,GID2445,824,915,PA0032,,LysR family transcriptional regulator
PA14_00430,Y,GID3890,7,624,PA0034,,two-component response regulator
PA14_00440,Y,GID3015,526,807,PA0035,trpA,tryptophan synthase subunit alpha
PA14_00450,Y,GID1401,170,1209,PA0036,trpB,tryptophan synthase subunit beta
PA14_00460,Y,GID2617,156,888,PA0037,trpI,transcriptional regulator TrpI
PA14_00470,Y,GID5388,19,216,PA0038,,hypothetical protein
PA14_00480,Y,GID5374,130,228,PA0039,,hypothetical protein
PA14_00490,Y,GID556,869,1689,PA0040,,hemolysin activation/secretion protein
PA14_00490,Y,GID556,24,1689,PA0040,,hemolysin activation/secretion protein
PA14_00490,Y,GID556,869,1689,PA0040,,hemolysin activation/secretion protein
PA14_00510,Y,GID6998,5830,10332,,,hemagglutinin
PA14_00530,Y,GID4734,190,396,PA0042,,hypothetical protein
PA14_00550,Y,GID1255,104,1410,PA0043,,hypothetical protein
PA14_00560,Y,GID7001,6,1329,PA0044,exoT,exoenzyme T
PA14_00560,Y,GID7001,680,1329,PA0044,exoT,exoenzyme T
PA14_00570,Y,GID3568,686,687,PA0045,,lipoprotein
PA14_00580,Y,GID4920,167,354,PA0046,,lipoprotein
PA14_00600,Y,GID4869,311,384,PA0048,,transcriptional regulator
PA14_00620,Y,GID558,473,1662,PA0049,,hypothetical protein
PA14_00620,Y,GID558,1268,1662,PA0049,,hypothetical protein
PA14_00640,Y,GID443,246,1833,PA0051,phzH,potential phenazine-modifying enzyme
PA14_00650,Y,GID4584,224,429,PA0052,,hypothetical protein
PA14_00660,Y,GID4104,43,549,PA0054,,RNA 2'-phosphotransferase-like protein
PA14_00680,Y,GID2510,809,921,PA0056,,LysR family transcriptional regulator
PA14_00680,Y,GID2510,809,921,PA0056,,LysR family transcriptional regulator
PA14_00690,Y,GID2646,253,888,PA0057,,hypothetical protein
PA14_00700,Y,GID3365,105,705,PA0058,,hypothetical protein
PA14_00710,Y,GID4530,124,456,PA0059,osmC,osmotically inducible protein OsmC
PA14_00710,Y,GID4530,124,456,PA0059,osmC,osmotically inducible protein OsmC
PA14_00720,Y,GID5363,214,234,PA0060,,hypothetical protein
PA14_00730,Y,GID4531,226,438,PA0061,,hypothetical protein
PA14_00740,Y,GID4604,6,417,PA0062,,lipoprotein
PA14_00740,Y,GID4604,358,417,PA0062,,lipoprotein
PA14_00750,Y,GID1668,38,1128,PA0063,,hypothetical protein
PA14_00760,Y,GID2133,883,984,PA0064,,hypothetical protein
PA14_00770,Y,GID3491,140,666,PA0065,,hypothetical protein
PA14_00780,Y,GID4103,15,543,PA0066,,hypothetical protein
PA14_00790,Y,GID316,29,2046,PA0067,prlC,oligopeptidase A
PA14_00810,Y,GID1853,236,1059,PA0069,,DNA repair photolyase
PA14_00820,Y,GID2603,139,915,PA0070,,hypothetical protein
PA14_00830,Y,GID570,161,1713,PA0071,,hypothetical protein
PA14_00850,Y,GID1656,667,1200,PA0072,,hypothetical protein
PA14_00890,Y,GID3377,23,729,PA0075,,phosphoprotein phosphatase
PA14_00910,Y,GID48,161,3309,PA0077,,hypothetical protein
PA14_00940,Y,GID1145,620,1335,PA0079,,hypothetical protein
PA14_00940,Y,GID1145,1213,1335,PA0079,,hypothetical protein
PA14_00960,Y,GID4468,161,465,PA0080,,lipoprotein
PA14_00980,Y,GID7010,28,960,,,hypothetical protein
PA14_00980,Y,GID7010,296,960,,,hypothetical protein
PA14_01010,Y,GID4284,517,519,PA0083,,hypothetical protein
PA14_01020,Y,GID740,830,1497,PA0084,,hypothetical protein
PA14_01030,Y,GID4311,75,489,PA0085,,hypothetical protein
PA14_01060,Y,GID4310,505,510,PA0087,,hypothetical protein
PA14_01070,Y,GID432,613,1860,PA0088,,hypothetical protein
PA14_01080,Y,GID1788,547,1047,PA0089,,hypothetical protein
PA14_01100,Y,GID130,2655,2709,PA0090,,ClpA/B-type chaperone
PA14_01100,Y,GID130,1232,2709,PA0090,,ClpA/B-type chaperone
PA14_01110,Y,GID351,440,1932,PA0091,PA0091,hypothetical protein
PA14_01120,Y,GID5394,249,285,,,hypothetical protein
PA14_01130,Y,GID7014,43,234,,,hypothetical protein
PA14_01140,Y,GID7015,205,1320,,,hypothetical protein
PA14_01150,Y,GID4536,161,435,PA0094,PA0094,hypothetical protein
PA14_01160,Y,GID238,776,2226,PA0095,,hypothetical protein
PA14_01170,Y,GID4624,20,450,PA0096,,hypothetical protein
PA14_01180,Y,GID1443,472,1200,PA0097,,hypothetical protein
PA14_01200,Y,GID3945,17,1092,,,hypothetical protein
PA14_01220,Y,GID7016,518,921,,,hypothetical protein
PA14_01220,Y,GID7016,736,921,,,hypothetical protein
PA14_01240,Y,GID3245,579,729,PA0102,PA0102,carbonic anhydrase
PA14_01250,Y,GID770,1072,1572,PA0103,,sulfate transporter
PA14_01270,Y,GID3946,112,597,PA0104,,hypothetical protein
PA14_01270,Y,GID3946,347,597,PA0104,,hypothetical protein
PA14_01290,Y,GID1564,400,1125,PA0105,coxB,cytochrome c oxidase subunit II
PA14_01300,Y,GID601,517,1593,PA0106,coxA,cytochrome c oxidase subunit I
PA14_01300,Y,GID601,1265,1593,PA0106,coxA,cytochrome c oxidase subunit I
PA14_01310,Y,GID4033,370,555,PA0107,,cytochrome C oxidase assembly protein
PA14_01320,Y,GID2329,23,888,PA0108,coIII,cytochrome c oxidase subunit III
PA14_01330,Y,GID5420,27,210,PA0109,,hypothetical protein
PA14_01340,Y,GID2838,233,795,PA0110,,hypothetical protein
PA14_01350,Y,GID3929,156,579,PA0111,,hypothetical protein
PA14_01380,Y,GID2389,677,915,PA0113,,protoheme IX farnesyltransferase
PA14_01390,Y,GID3682,342,636,PA0114,,hypothetical protein
PA14_01400,Y,GID4459,340,453,PA0115,,hypothetical protein
PA14_01410,Y,GID4314,194,474,PA0116,,hypothetical protein
PA14_01430,Y,GID3259,85,729,PA0117,,short chain dehydrogenase
PA14_01440,Y,GID3891,293,588,PA0118,,hypothetical protein
PA14_01440,Y,GID3891,49,588,PA0118,,hypothetical protein
PA14_01460,Y,GID1242,257,1350,PA0119,,C4-dicarboxylate transporter DctA
PA14_01470,Y,GID3621,422,687,PA0120,,transcriptional regulator
PA14_01470,Y,GID3621,287,687,PA0120,,transcriptional regulator
PA14_01480,Y,GID3433,536,735,PA0121,,hypothetical protein
PA14_01500,Y,GID2542,807,909,PA0123,,transcriptional regulator
PA14_01510,Y,GID5208,50,282,PA0124,,hypothetical protein
PA14_01540,Y,GID3776,6,624,PA0126,,hypothetical protein
PA14_01580,Y,GID996,1077,1428,PA0129,gabP,gamma-aminobutyrate permease
PA14_01600,Y,GID749,1205,1494,PA0130,,aldehyde dehydrogenase
PA14_01600,Y,GID749,698,1494,PA0130,,aldehyde dehydrogenase
PA14_01610,Y,GID5166,120,288,PA0131,,hypothetical protein
PA14_01620,Y,GID1036,972,1347,PA0132,aptA,beta alanine--pyruvate transaminase
PA14_01620,Y,GID1036,252,1347,PA0132,aptA,beta alanine--pyruvate transaminase
PA14_01640,Y,GID2489,532,918,PA0133,,LysR family transcriptional regulator
PA14_01660,Y,GID997,22,1371,PA0134,,guanine deaminase
PA14_01660,Y,GID997,662,1371,PA0134,,guanine deaminase
PA14_01660,Y,GID997,211,1371,PA0134,,guanine deaminase
PA14_01680,Y,GID1793,142,1098,PA0137,,ABC transporter permease
PA14_01690,Y,GID2596,436,981,PA0138,,ABC transporter permease
PA14_01710,Y,GID3953,206,564,PA0139,ahpC,alkyl hydroperoxide reductase
PA14_01720,Y,GID734,367,1566,PA0140,ahpF,alkyl hydroperoxide reductase
PA14_01720,Y,GID734,367,1566,PA0140,ahpF,alkyl hydroperoxide reductase
PA14_01720,Y,GID734,1281,1566,PA0140,ahpF,alkyl hydroperoxide reductase
PA14_01730,Y,GID2390,107,897,PA0141,,hypothetical protein
PA14_01760,Y,GID2200,792,990,PA0143,nuh,nonspecific ribonucleoside hydrolase
PA14_01770,Y,GID7029,367,849,,,nucleoside-binding outer membrane protein
PA14_01780,Y,GID3874,33,627,PA0144,,nucleoside 2-deoxyribosyltransferase
PA14_01790,Y,GID4209,169,519,PA0145,,nucleoside 2-deoxyribosyltransferase
PA14_01800,Y,GID1749,122,1098,PA0146,,hypothetical protein
PA14_01800,Y,GID1749,122,1098,PA0146,,hypothetical protein
PA14_01800,Y,GID1749,434,1098,PA0146,,hypothetical protein
PA14_01810,Y,GID2046,38,963,PA0147,,oxidoreductase
PA14_01830,Y,GID2231,5,951,PA0148,,adenosine deaminase
PA14_01840,Y,GID4097,188,546,PA0149,,RNA polymerase ECF-subfamily sigma-70 factor
PA14_01860,Y,GID2134,238,996,PA0150,,transmembrane sensor
PA14_01870,Y,GID190,1112,2388,PA0151,,TonB-dependent receptor
PA14_01870,Y,GID190,2247,2388,PA0151,,TonB-dependent receptor
PA14_01910,Y,GID3751,49,606,PA0154,pcaG,"protocatechuate 3,4-dioxygenase subunit alpha"
PA14_01940,Y,GID1789,201,1152,PA0156,,RND efflux membrane fusion protein
PA14_01960,Y,GID1983,98,1071,PA0157,,RND efflux membrane fusion protein
PA14_01970,Y,GID71,483,3048,PA0158,,RND efflux transporter
PA14_01980,Y,GID2391,764,939,PA0159,,LysR family transcriptional regulator
PA14_02010,Y,GID5483,42,153,PA0161,,hypothetical protein
PA14_02020,Y,GID981,599,1335,PA0162,,outer membrane porin
PA14_02020,Y,GID981,1200,1335,PA0162,,outer membrane porin
PA14_02030,Y,GID2944,562,798,PA0163,,AraC family transcriptional regulator
PA14_02030,Y,GID2944,562,798,PA0163,,AraC family transcriptional regulator
PA14_02050,Y,GID614,920,1617,PA0164,,gamma-glutamyltranspeptidase
PA14_02050,Y,GID614,920,1617,PA0164,,gamma-glutamyltranspeptidase
PA14_02050,Y,GID614,1265,1617,PA0164,,gamma-glutamyltranspeptidase
PA14_02060,Y,GID2562,9,837,PA0165,,hypothetical protein
PA14_02060,Y,GID2562,139,837,PA0165,,hypothetical protein
PA14_02070,Y,GID1037,173,1407,PA0166,,transporter
PA14_02070,Y,GID1037,1013,1407,PA0166,,transporter
PA14_02090,Y,GID3539,125,666,PA0167,,TetR family transcriptional regulator
PA14_02110,Y,GID3434,82,708,PA0169,,diguanylate cyclase
PA14_02140,Y,GID4162,102,543,PA0171,,hypothetical protein
PA14_02150,Y,GID347,359,1992,PA0172,,hypothetical protein
PA14_02150,Y,GID347,359,1992,PA0172,,hypothetical protein
PA14_02150,Y,GID347,1182,1992,PA0172,,hypothetical protein
PA14_02190,Y,GID3861,45,603,PA0174,,hypothetical protein
PA14_02220,Y,GID398,590,2040,PA0176,,chemotaxis transducer
PA14_02230,Y,GID4442,379,486,PA0177,cheW,purine-binding chemotaxis protein
PA14_02250,Y,GID433,11,1920,PA0178,cheA,two-component sensor
PA14_02250,Y,GID433,13,1920,PA0178,cheA,two-component sensor
PA14_02260,Y,GID4921,139,366,PA0179,,two-component response regulator
PA14_02290,Y,GID2361,729,936,PA0181,,LysR family transcriptional regulator
PA14_02300,Y,GID3390,706,753,PA0182,fabG,3-ketoacyl-ACP reductase
PA14_02310,Y,GID611,683,1611,PA0183,atsA,arylsulfatase
PA14_02310,Y,GID611,683,1611,PA0183,atsA,arylsulfatase
PA14_02310,Y,GID611,1066,1611,PA0183,atsA,arylsulfatase
PA14_02330,Y,GID2856,628,840,PA0184,atsC,ABC transporter ATP-binding protein
PA14_02360,Y,GID2005,803,1062,PA0186,atsR,ABC transporter substrate-binding protein
PA14_02370,Y,GID1050,127,1359,PA0189,,porin
PA14_02380,Y,GID3313,18,726,PA0190,,acid phosphatase
PA14_02410,Y,GID191,9,2373,PA0192,,TonB-dependent receptor
PA14_02410,Y,GID191,2120,2373,PA0192,,TonB-dependent receptor
PA14_02420,Y,GID2472,493,903,PA0193,,hypothetical protein
PA14_02450,Y,GID2419,149,1119,,,NAD(P) transhydrogenase subunit alpha part 1
PA14_02460,Y,GID5245,55,309,,,NAD(P) transhydrogenase subunit alpha part 2
PA14_02470,Y,GID1002,1288,1437,PA0196,pntB,pyridine nucleotide transhydrogenase subunit beta
PA14_02500,Y,GID3438,556,720,PA0198,exbB1,transport protein ExbB
PA14_02530,Y,GID3848,39,582,PA0201,,hypothetical protein
PA14_02550,Y,GID592,662,1665,PA0208,mdcA,malonate decarboxylase subunit alpha
PA14_02550,Y,GID592,1410,1665,PA0208,mdcA,malonate decarboxylase subunit alpha
PA14_02580,Y,GID2789,513,864,PA0211,mdcD,malonate decarboxylase subunit beta
PA14_02590,Y,GID3016,602,807,PA0212,mdcE,malonate decarboxylase subunit gamma
PA14_02660,Y,GID2405,12,921,PA0218,,LysR family transcriptional regulator
PA14_02660,Y,GID2405,133,921,PA0218,,LysR family transcriptional regulator
PA14_02700,Y,GID920,266,1383,PA0221,,aminotransferase
PA14_02720,Y,GID1845,798,1059,PA0222,,hypothetical protein
PA14_02730,Y,GID2647,851,882,PA0223,,dihydrodipicolinate synthetase
PA14_02740,Y,GID2949,8,783,PA0224,,class II aldolase/adducin domain-containing protein
PA14_02740,Y,GID2949,194,783,PA0224,,class II aldolase/adducin domain-containing protein
PA14_02740,Y,GID2949,194,783,PA0224,,class II aldolase/adducin domain-containing protein
PA14_02750,Y,GID4186,86,540,PA0225,,transcriptional regulator
PA14_02760,Y,GID2686,170,852,PA0226,,"CoA transferase, subunit A"
PA14_02770,Y,GID3083,249,783,PA0227,,CoA transferase subunit B
PA14_02790,Y,GID1543,1163,1206,PA0228,pcaF,beta-ketoadipyl CoA thiolase
PA14_02810,Y,GID1266,23,1299,PA0229,pcaT,dicarboxylic acid transporter PcaT
PA14_02830,Y,GID1138,104,1380,PA0230,pcaB,"3-carboxy-cis,cis-muconate cycloisomerase"
PA14_02850,Y,GID4773,310,402,PA0232,pcaC,gamma-carboxymuconolactone decarboxylase
PA14_02890,Y,GID2716,541,834,PA0234,,hypothetical protein
PA14_02890,Y,GID2716,541,834,PA0234,,hypothetical protein
PA14_02900,Y,GID1177,434,1347,PA0235,pcaK,4-hydroxybenzoate transporter PcaK
PA14_02910,Y,GID3174,152,780,PA0236,,IclR family transcriptional regulator
PA14_02930,Y,GID1939,457,1044,PA0237,,oxidoreductase
PA14_02970,Y,GID2671,797,879,PA0239,,hypothetical protein
PA14_02980,Y,GID1229,698,1266,PA0240,,porin
PA14_02990,Y,GID1060,142,1326,PA0241,,MFS transporter
PA14_02990,Y,GID1060,142,1326,PA0241,,MFS transporter
PA14_03000,Y,GID418,24,1905,PA0242,,hypothetical protein
PA14_03010,Y,GID3607,195,669,PA0243,,TetR family transcriptional regulator
PA14_03040,Y,GID884,165,1506,PA0246,,MFS transporter
PA14_03050,Y,GID1516,153,1185,PA0247,pobA,4-hydroxybenzoate 3-monooxygenase
PA14_03070,Y,GID2692,400,867,PA0248,,transcriptional regulator
PA14_03080,Y,GID4532,145,447,PA0249,,acetyltransferase
PA14_03090,Y,GID4710,170,435,PA0250,,hypothetical protein
PA14_03100,Y,GID3880,208,642,,,hypothetical protein
PA14_03110,Y,GID5128,251,288,PA0252,,hypothetical protein
PA14_03130,Y,GID741,123,1491,PA0254,,hypothetical protein
PA14_03150,Y,GID3561,257,687,PA0255,,hypothetical protein
PA14_03160,Y,GID2379,108,933,PA0256,,hypothetical protein
PA14_03170,Y,GID2907,211,840,PA0987,,hypothetical protein
PA14_03180,Y,GID5280,113,264,PA0986,,hypothetical protein
PA14_03190,Y,GID900,16,1443,PA0259,,hypothetical protein
PA14_03190,Y,GID900,188,1443,PA0259,,hypothetical protein
PA14_03200,Y,GID287,398,2151,PA0260,PA0260,hypothetical protein
PA14_03210,Y,GID4260,329,498,PA0261,,hypothetical protein
PA14_03220,Y,GID56,2680,3060,PA0262,PA0262,hypothetical protein
PA14_03220,Y,GID56,407,3060,PA0262,PA0262,hypothetical protein
PA14_03240,Y,GID4115,329,519,PA5267,hcpC,secreted protein Hcp
PA14_03250,Y,GID7066,50,1617,,,hypothetical protein
PA14_03250,Y,GID7066,303,1617,,,hypothetical protein
PA14_03250,Y,GID7066,303,1617,,,hypothetical protein
PA14_03270,Y,GID7068,876,3138,,,hypothetical protein
PA14_03270,Y,GID7068,80,3138,,,hypothetical protein
PA14_03290,Y,GID5161,257,309,PA0979,,hypothetical protein
PA14_03310,Y,GID7069,713,1599,,,hypothetical protein
PA14_03320,Y,GID7070,39,1122,,,hypothetical protein
PA14_03330,Y,GID7071,198,867,,,hypothetical protein
PA14_03340,Y,GID7072,73,927,,,hypothetical protein
PA14_03350,Y,GID7073,11,954,,,hypothetical protein
PA14_03350,Y,GID7073,68,954,,,hypothetical protein
PA14_03360,Y,GID7074,79,771,,,hypothetical protein
PA14_03370,Y,GID7075,140,999,,,hypothetical protein
PA14_03380,Y,GID7076,75,1980,,,hypothetical protein
PA14_03390,Y,GID7077,347,510,,,hypothetical protein
PA14_03430,Y,GID885,559,1452,PA0265,gabD,succinate-semialdehyde dehydrogenase I
PA14_03450,Y,GID1336,131,1281,PA0266,gabT,4-aminobutyrate aminotransferase
PA14_03450,Y,GID1336,1183,1281,PA0266,gabT,4-aminobutyrate aminotransferase
PA14_03450,Y,GID1336,466,1281,PA0266,gabT,4-aminobutyrate aminotransferase
PA14_03480,Y,GID928,224,1422,PA0268,,GntR family transcriptional regulator
PA14_03520,Y,GID5187,115,285,PA0271,,hypothetical protein
PA14_03530,Y,GID2367,706,933,PA0272,PA0272,transcriptional regulator
PA14_03550,Y,GID1544,418,1215,PA0273,,MFS transporter
PA14_03560,Y,GID3253,296,771,PA0274,,hypothetical protein
PA14_03580,Y,GID3521,330,687,PA0275,,transcriptional regulator
PA14_03590,Y,GID4261,31,516,PA0276,,hypothetical protein
PA14_03610,Y,GID3268,209,759,PA0277,,Zn-dependent protease with chaperone function
PA14_03620,Y,GID3306,158,753,PA0278,,hypothetical protein
PA14_03650,Y,GID2144,673,990,PA0280,cysA,sulfate transport protein CysA
PA14_03670,Y,GID2774,125,870,PA0281,cysW,sulfate transport protein CysW
